Date	Time	Error Code	Error Message
19-03-24	09:37:30	1	Get Queue Status in NI_LVConfig.lvlib:Get File Path.vi->NI_LVConfig.lvlib:Close Config Data.vi->User Interface.lvlib:Instrument Address.vi->CVT.lvlib:Create DO Tag.vi->CVT.lvlib:Create CVT Tag.vi->CVT.lvlib:Main.vi->CVT.lvlib:Main.vi.ACBRProxyCaller.EB00074<DQMH>MHL Frame: REQ Initializ CVT</DQMH>
19-03-24	09:48:46	1	Get Queue Status in NI_LVConfig.lvlib:Get File Path.vi->NI_LVConfig.lvlib:Close Config Data.vi->User Interface.lvlib:Instrument Address.vi->CVT.lvlib:Create DO Tag.vi->CVT.lvlib:Create CVT Tag.vi->CVT.lvlib:Main.vi->CVT.lvlib:Main.vi.ACBRProxyCaller.1D10006E<DQMH>MHL Frame: REQ Initializ CVT</DQMH>
19-03-24	09:50:13	1	Get Queue Status in NI_LVConfig.lvlib:Get File Path.vi->NI_LVConfig.lvlib:Close Config Data.vi->User Interface.lvlib:Instrument Address.vi->CVT.lvlib:Create DO Tag.vi->CVT.lvlib:Create CVT Tag.vi->CVT.lvlib:Main.vi->CVT.lvlib:Main.vi.ACBRProxyCaller.21D00095<DQMH>MHL Frame: REQ Initializ CVT</DQMH>
19-03-24	09:50:54	1	Get Queue Status in NI_LVConfig.lvlib:Get File Path.vi->NI_LVConfig.lvlib:Close Config Data.vi->User Interface.lvlib:Instrument Address.vi->CVT.lvlib:Create DO Tag.vi->CVT.lvlib:Create CVT Tag.vi->CVT.lvlib:Main.vi->CVT.lvlib:Main.vi.ACBRProxyCaller.2670004D<DQMH>MHL Frame: REQ Initializ CVT</DQMH>
19-03-24	09:55:00	1	Get Queue Status in NI_LVConfig.lvlib:Get File Path.vi->NI_LVConfig.lvlib:Close Config Data.vi->User Interface.lvlib:Instrument Address.vi->CVT.lvlib:Create DO Tag.vi->CVT.lvlib:Create CVT Tag.vi->CVT.lvlib:Main.vi->CVT.lvlib:Main.vi.ACBRProxyCaller.2C80005A<DQMH>MHL Frame: REQ Initializ CVT</DQMH>
19-03-24	09:57:05	1	Get Queue Status in NI_LVConfig.lvlib:Get File Path.vi->NI_LVConfig.lvlib:Close Config Data.vi->User Interface.lvlib:Instrument Address.vi->CVT.lvlib:Create DO Tag.vi->CVT.lvlib:Create CVT Tag.vi->CVT.lvlib:Main.vi->CVT.lvlib:Main.vi.ACBRProxyCaller.3060004E<DQMH>MHL Frame: REQ Initializ CVT</DQMH>
19-03-24	10:53:48	1	Get Queue Status in NI_LVConfig.lvlib:Get File Path.vi->NI_LVConfig.lvlib:Close Config Data.vi->User Interface.lvlib:Instrument Address.vi->CVT.lvlib:Create DO Tag.vi->CVT.lvlib:Create CVT Tag.vi->CVT.lvlib:Main.vi->CVT.lvlib:Main.vi.ACBRProxyCaller.36B0008C<DQMH>MHL Frame: REQ Initializ CVT</DQMH>
19-03-24	11:29:42	1	Get Queue Status in NI_LVConfig.lvlib:Get File Path.vi->NI_LVConfig.lvlib:Close Config Data.vi->User Interface.lvlib:Instrument Address.vi->CVT.lvlib:Create DO Tag.vi->CVT.lvlib:Create CVT Tag.vi->CVT.lvlib:Main.vi->CVT.lvlib:Main.vi.ACBRProxyCaller.BDD00075<DQMH>MHL Frame: REQ Initializ CVT</DQMH>
19-03-24	11:29:45	-1073807343	Property Node (arg 1) in VISA Configure Serial Port (Instr).vi->Serial Hardware.lvlib:Serial Device.lvclass:Initialize Hardware.vi->Serial Hardware.lvlib:Main.vi->Serial Hardware.lvlib:Main.vi.ACBRProxyCaller.BE100079<DQMH>MHL Frame: REQ Initialize Hardware</DQMH>
19-03-24	11:29:48	-1073807343	Property Node (arg 1) in VISA Configure Serial Port (Instr).vi->Serial Hardware.lvlib:Serial Device.lvclass:Initialize Hardware.vi->Serial Hardware.lvlib:Main.vi->Serial Hardware.lvlib:Main.vi.ACBRProxyCaller.BE100079<DQMH>MHL Frame: REQ Initialize Hardware</DQMH>
19-03-24	11:30:12	1	Get Queue Status in NI_LVConfig.lvlib:Get File Path.vi->NI_LVConfig.lvlib:Close Config Data.vi->User Interface.lvlib:Instrument Address.vi->CVT.lvlib:Create DO Tag.vi->CVT.lvlib:Create CVT Tag.vi->CVT.lvlib:Main.vi->CVT.lvlib:Main.vi.ACBRProxyCaller.C1700081<DQMH>MHL Frame: REQ Initializ CVT</DQMH>
19-03-24	11:30:14	-1073807343	Property Node (arg 1) in VISA Configure Serial Port (Instr).vi->Serial Hardware.lvlib:Serial Device.lvclass:Initialize Hardware.vi->Serial Hardware.lvlib:Main.vi->Serial Hardware.lvlib:Main.vi.ACBRProxyCaller.C1B00073<DQMH>MHL Frame: REQ Initialize Hardware</DQMH>
19-03-24	12:02:01	1	Get Queue Status in NI_LVConfig.lvlib:Get File Path.vi->NI_LVConfig.lvlib:Close Config Data.vi->User Interface.lvlib:Instrument Address.vi->CVT.lvlib:Create DO Tag.vi->CVT.lvlib:Create CVT Tag.vi->CVT.lvlib:Main.vi->CVT.lvlib:Main.vi.ACBRProxyCaller.F4F0007A<DQMH>MHL Frame: REQ Initializ CVT</DQMH>
19-03-24	12:02:05	-1073807343	Property Node (arg 1) in VISA Configure Serial Port (Instr).vi->Serial Hardware.lvlib:Serial Device.lvclass:Initialize Hardware.vi->Serial Hardware.lvlib:Main.vi->Serial Hardware.lvlib:Main.vi.ACBRProxyCaller.F530007E<DQMH>MHL Frame: REQ Initialize Hardware</DQMH>
