S.NO/Digits,Input State,APU,MAIN LG,2XA,22XN,BTC                           Lockout,BUS TIE PB                      10XU ,3XS,4XS,3XG,5XG,SMOKE Config Button    13XU,Gen1 Ready (10J),GEN1 PB ON,GEN2 Ready(10J),GEN2 PB ON
74,7.4,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
75,7.5,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1
76,7.6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
77,7.7,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1
78,7.8,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0
79,7.9,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1
80,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
81,8.1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1
82,8.2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
83,8.3,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
84,8.4,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
85,8.5,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
86,8.6,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0
87,8.7,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1
88,8.8,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
89,8.9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1
90,9,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
91,9.1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1
92,9.2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0
93,9.3,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1
94,9.4,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
95,9.5,0,0,0,0,0,0,0,0,1,0,1,1,1,1,1
96,9.6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
97,9.7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
98,9.8,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
99,9.9,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1
100,10,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
101,10.1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1
102,10.2,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
103,10.3,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1
104,10.4,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
105,10.5,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1
106,10.6,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
107,10.7,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
108,10.8,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
109,10.9,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1
110,11,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0
111,11.1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1
112,11.2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
113,11.3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
114,11.4,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0
115,11.5,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1
116,11.6,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0
117,11.7,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1
118,11.8,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0
119,11.9,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1
120,12,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
121,12.1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1
122,12.2,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0
123,12.3,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1
124,12.4,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
125,12.5,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1
126,12.6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0
127,12.7,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
128,12.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
129,12.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
130,13,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
131,13.1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
132,13.2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
133,13.3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
134,13.4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
135,13.5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1
136,13.6,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
137,13.7,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
138,13.8,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
139,13.9,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1
140,14,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
141,14.1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1
142,14.2,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
143,14.3,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1
144,14.4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
145,14.5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
146,14.6,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
147,14.7,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
148,14.8,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
149,14.9,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1
150,15,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0
151,15.1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1
152,15.2,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
153,15.3,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1
154,15.4,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
155,15.5,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
156,15.6,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0
